tissue,filename,channel,mean,std,median
Adrenal_gland,img_Adrenal_gland_1_01209.png,Red,159.01719665527344,36.58008216480968,157.0
Adrenal_gland,img_Adrenal_gland_1_01209.png,Green,117.66053771972656,40.73643314293612,107.0
Adrenal_gland,img_Adrenal_gland_1_01209.png,Blue,154.8052520751953,32.56843367735052,147.0
Adrenal_gland,img_Adrenal_gland_2_01039.png,Red,177.4025115966797,36.99951731322462,182.0
Adrenal_gland,img_Adrenal_gland_2_01039.png,Green,144.79371643066406,41.94103829841344,145.0
Adrenal_gland,img_Adrenal_gland_2_01039.png,Blue,177.1351318359375,33.25240719276544,179.0
Bile-duct,img_Bile-duct_3_01346.png,Red,151.18533325195312,37.37503530286504,153.0
Bile-duct,img_Bile-duct_3_01346.png,Green,115.422607421875,40.60446210588662,111.0
Bile-duct,img_Bile-duct_3_01346.png,Blue,153.58543395996094,33.678514439142766,151.0
Bile-duct,img_Bile-duct_3_01348.png,Red,131.79197692871094,35.36428401573764,130.0
Bile-duct,img_Bile-duct_3_01348.png,Green,99.29389953613281,35.875606135874165,93.0
Bile-duct,img_Bile-duct_3_01348.png,Blue,140.82655334472656,30.54944128643023,137.0
Breast,img_Breast_3_00381.png,Red,166.99546813964844,34.45363556657314,172.0
Breast,img_Breast_3_00381.png,Green,141.81129455566406,37.94489373992223,146.0
Breast,img_Breast_3_00381.png,Blue,176.490234375,30.013855277795862,181.0
Breast,img_Breast_1_01735.png,Red,141.7772674560547,31.71826647112976,142.0
Breast,img_Breast_1_01735.png,Green,105.02883911132812,31.88446490671733,102.0
Breast,img_Breast_1_01735.png,Blue,145.63648986816406,27.018712404161292,144.0
Colon,img_Colon_3_01724.png,Red,141.9070587158203,39.91302817800966,136.0
Colon,img_Colon_3_01724.png,Green,109.2298583984375,41.49647220427143,97.0
Colon,img_Colon_3_01724.png,Blue,149.1949462890625,32.35217361015798,141.0
Colon,img_Colon_3_00772.png,Red,181.72177124023438,47.65862487307408,184.0
Colon,img_Colon_3_00772.png,Green,151.2136993408203,57.90978962003618,140.0
Colon,img_Colon_3_00772.png,Blue,180.59249877929688,44.34852025336729,175.0
Esophagus,img_Esophagus_3_01063.png,Red,162.7570343017578,37.873913086695694,170.0
Esophagus,img_Esophagus_3_01063.png,Green,129.83689880371094,37.35794088601422,134.0
Esophagus,img_Esophagus_3_01063.png,Blue,165.94125366210938,30.63817523577311,171.0
Esophagus,img_Esophagus_3_00900.png,Red,169.8529052734375,49.11452786119537,170.0
Esophagus,img_Esophagus_3_00900.png,Green,138.29592895507812,56.73015724888513,126.0
Esophagus,img_Esophagus_3_00900.png,Blue,170.69223022460938,44.038794716918304,164.0
