model1,model2,metric,n,mean_diff,t_p,w_p,t_p_bh,t_p_sig_bh,w_p_bh,w_p_sig_bh
unet_baseline,sam_vit_b,aji,100,-0.005649828295476197,3.88751947697893e-22,3.896559845095909e-18,1.166255843093679e-21,True,7.793119690191818e-18,True
unet_baseline,sam_vit_l,aji,100,-0.005019084285382478,6.5361995189148565e-21,3.896559845095909e-18,1.3072399037829713e-20,True,7.793119690191818e-18,True
unet_baseline,sam_vit_h,aji,100,-0.005943044505812817,1.9863192353819112e-22,3.896559845095909e-18,1.166255843093679e-21,True,7.793119690191818e-18,True
sam_vit_b,sam_vit_l,aji,100,0.000630744010093719,8.512050470016557e-06,7.459504884752049e-06,1.0214460564019869e-05,True,8.95140586170246e-06,True
sam_vit_b,sam_vit_h,aji,100,-0.00029321621033662085,0.002345791261263398,0.0010374753182760608,0.002345791261263398,True,0.0010374753182760608,True
sam_vit_l,sam_vit_h,aji,100,-0.0009239602204303396,1.1640336716649636e-14,2.1365801836383434e-16,1.7460505074974454e-14,True,3.204870275457515e-16,True
unet_baseline,sam_vit_b,dice_bin,100,0.37913261321139236,1.9783800607450154e-31,3.896559845095909e-18,2.967570091117523e-31,True,5.844839767643864e-18,True
unet_baseline,sam_vit_l,dice_bin,100,0.4569370538381927,1.510266349466427e-35,3.896559845095909e-18,3.020532698932854e-35,True,5.844839767643864e-18,True
unet_baseline,sam_vit_h,dice_bin,100,0.47033994949769464,1.4148322633263654e-38,3.896559845095909e-18,4.244496789979096e-38,True,5.844839767643864e-18,True
sam_vit_b,sam_vit_l,dice_bin,100,0.07780444062680018,9.504261486240993e-31,4.3571215496604904e-16,1.1405113783489192e-30,True,5.228545859592589e-16,True
sam_vit_b,sam_vit_h,dice_bin,100,0.0912073362863023,2.170862651313273e-66,3.896559845095909e-18,1.302517590787964e-65,True,5.844839767643864e-18,True
sam_vit_l,sam_vit_h,dice_bin,100,0.013402895659502121,0.019847670600395363,0.28492594015284,0.019847670600395363,True,0.28492594015284,False
unet_baseline,sam_vit_b,f1_object,100,0.0,1.0,1.0,1.0,False,1.0,False
unet_baseline,sam_vit_l,f1_object,100,0.0,1.0,1.0,1.0,False,1.0,False
unet_baseline,sam_vit_h,f1_object,100,0.0,1.0,1.0,1.0,False,1.0,False
sam_vit_b,sam_vit_l,f1_object,100,0.0,1.0,1.0,1.0,False,1.0,False
sam_vit_b,sam_vit_h,f1_object,100,0.0,1.0,1.0,1.0,False,1.0,False
sam_vit_l,sam_vit_h,f1_object,100,0.0,1.0,1.0,1.0,False,1.0,False
unet_baseline,sam_vit_b,pq,100,0.0,1.0,1.0,1.0,False,1.0,False
unet_baseline,sam_vit_l,pq,100,0.0,1.0,1.0,1.0,False,1.0,False
unet_baseline,sam_vit_h,pq,100,0.0,1.0,1.0,1.0,False,1.0,False
sam_vit_b,sam_vit_l,pq,100,0.0,1.0,1.0,1.0,False,1.0,False
sam_vit_b,sam_vit_h,pq,100,0.0,1.0,1.0,1.0,False,1.0,False
sam_vit_l,sam_vit_h,pq,100,0.0,1.0,1.0,1.0,False,1.0,False
